Provider Number,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
421303,11.9,13.3
421304,12.2,13.3
430005,11.3,12.5
430008,11.9,12.5
430012,12,13.9
430013,11.7,10.2
430014,10.9,11.1
430015,12.2,14
430016,11.4,12.4
430027,11.6,12
43002F,9.9,12.4
430048,14.7,12.1
43005F,10.6,9.4
430077,11.1,11.9
430081,Not Available,11.4
430082,Not Available,Not Available
430083,Not Available,Not Available
430084,Not Available,10.3
430089,Not Available,Not Available
430090,Not Available,Not Available
430091,Not Available,Not Available
430092,Not Available,Not Available
430093,Not Available,Not Available
430094,Not Available,Not Available
430095,9.9,11.6
430096,Not Available,Not Available
431300,12.4,14.3
431306,Not Available,14.3
431309,11.2,11.3
431310,Not Available,11.1
431311,Not Available,12.5
431315,12.4,14.5
431316,10.7,13.4
431317,Not Available,11.6
431320,12,12
431321,11.5,11.8
431322,Not Available,11.1
431323,Not Available,12
431324,Not Available,13.6
431325,12.7,12.7
431326,12.3,11.5
431327,Not Available,12
431329,14.3,Not Available
431330,13.1,12.3
431331,Not Available,12.7
431332,Not Available,10.7
431334,14.5,14.2
431335,12.4,15.7
431336,11.1,11.3
431337,12.4,10.2
431338,10.7,11.3
440001,11.5,8.7
440002,12.5,11.5
440003,11.4,15.1
440006,11,12
440007,9.7,7.5
440008,12.2,11.3
440009,11.5,9.7
440010,14.1,10.5
440011,11.9,11.8
440012,11.2,12.6
440015,11.3,10.4
440016,14,10.6
440017,10.8,10
440018,13.5,11.4
440020,11.8,11.8
440025,9.8,12.1
440029,12.3,12.1
440030,11.6,11.7
440031,9.9,11.6
440032,9.4,11.2
440033,10.5,12.1
440034,11.8,10.6
440035,12.5,17.6
440039,13.6,12.5
440040,9.8,10.4
440046,12.4,11.8
440047,12.1,16.1
440048,10.4,11.3
440049,12.4,15
440050,15.2,11.9
440051,14.6,12.2
440053,10.9,13.1
440054,11.8,13.1
440056,12.4,13.8
440057,9.8,11.5
440058,10.8,11.7
440059,11.6,12.8
440060,11.3,11.3
440061,11.4,10.5
440063,10.4,11.1
440064,11.8,15.5
440065,13.3,13
440067,12.7,13.4
440068,17.4,17.8
440070,13.2,15.5
440072,11.4,14.3
440073,13.5,12.9
440081,11.6,12.3
440082,10.2,11.6
440083,12,13
440084,10.2,11.1
440091,11.9,11
440102,13.2,12.1
440104,12.2,14
440109,11.4,15.9
440110,10.8,10.9
440111,Not Available,Not Available
440115,11.5,14.4
440120,13.1,12.2
440125,10.1,10.4
440130,11.1,15.6
440131,13.1,12
440132,15.1,13
440133,11.7,11.8
440137,12.9,14.3
44013F,11.5,14.6
440141,11.8,10.4
440144,10.7,14.7
440147,Not Available,Not Available
440148,12.6,11.3
440150,14,9.7
440151,11.3,11
440152,Not Available,Not Available
440153,10,11.8
440156,13.1,11.3
440159,11.8,13
440161,9.7,10.4
440162,Not Available,Not Available
440168,14.3,13.5
44016F,10.3,10.1
440173,12.1,12.9
440174,10.2,10.6
440175,10.1,10.6
440176,10.5,10.7
440180,12.7,14.8
440181,10.5,12.4
440182,11.5,14.6
440183,10.9,15.4
440184,11.2,9.1
440185,13.5,14.8
440186,11.2,12.3
440187,15.8,13.6
440189,12.5,13.8
44018F,10.5,13.2
440192,12.3,12.7
440193,11.3,13.9
440194,12.9,13.9
440197,13.3,12.6
440200,11.5,10.3
440218,Not Available,Not Available
440227,13,14.4
440228,13,14.2
441300,Not Available,15.8
441301,11.8,11
441305,10.5,10.7
441307,Not Available,Not Available
441308,12,11.8
441309,11.6,13.2
441310,11.4,12.7
441311,Not Available,Not Available
441312,12.4,13.6
441313,Not Available,12.1
441314,11.8,10.8
441315,11.4,12.4
441316,13,11.5
441317,10.2,10.4
450002,9.1,12.4
450005,14.3,12.7
450007,12.4,14.3
450010,15.1,13.1
450011,15.6,10.4
450015,11.2,12
450018,11.8,11.4
450021,11.8,12.1
450023,9.2,10.2
450024,12,12.6
450028,11.7,11.1
450029,11.3,10.8
450032,10.1,9.9
450033,12.3,8.9
450034,13.1,12.6
450035,9.6,13.3
450037,10.6,11.9
450039,10.6,13.2
450040,11.1,11.7
450042,12.6,14.2
450044,9,10.5
450046,9.8,12.4
450051,11.2,9.9
450052,12.4,10.6
450054,9.6,9.5
450055,10.7,13.4
450056,11.3,11.8
450058,9.6,9.9
450064,10.4,11.7
450068,10.7,11.1
450072,12.4,13.8
450073,12.8,11.6
450078,11.7,12
450079,11.3,11.4
450080,10.7,13.2
450082,11.2,11.6
450083,10.7,11.8
450085,10.8,9.3
450087,10.6,9.4
450090,11.8,13.2
450092,8.1,9.7
450097,11.3,12.1
450099,9.8,11.5
450101,12.9,11.7
450102,12.5,10.9
450104,12,12.4
450107,12.7,11.2
450108,11.8,11.5
450119,9.8,10.7
450124,11.1,10.9
450128,11.5,11.8
450130,9.9,9.9
450132,14.6,16.8
450133,12.5,14.5
450135,11.4,12.3
450137,8.9,11.7
450143,11.2,9.1
450144,11.2,12.2
450147,8.7,10
450148,12,11.4
450152,11.6,12.4
450154,11.3,13.4
450155,12.1,13.1
450162,10.3,9.9
450163,11.5,12.4
450165,11.3,10.9
450176,8.8,9.9
450177,11,12.8
450178,10,14.4
450184,9.8,11.1
450187,10.7,16.9
450188,10.8,11.9
450192,12.5,13.1
450193,10.3,9.4
450194,10.4,12.4
450196,11.4,14.9
450200,10.7,12.2
450203,10.5,12.7
450209,12.1,14.3
450210,15.8,12
450211,12.3,16
450213,10.5,11.6
450214,9.7,8.8
450219,12,11.6
450221,9.7,12.1
450222,11.5,12.7
450229,13,12
450231,12.8,12.2
450235,11.2,10.2
450236,14.9,13.7
450237,12.6,12.9
450241,10.2,10.8
450243,10.9,Not Available
450253,13.8,14.9
450270,Not Available,Not Available
450271,12.2,15.3
450272,14.1,9.3
450280,11.3,10.3
450283,11.3,12.1
450289,10,12.3
450292,14.8,14.5
450293,10.5,13.4
450296,9.2,10.2
450299,11.4,13.3
450306,14.1,11.1
450324,11.2,14.1
450330,12.5,13.2
450340,10.5,11.7
450346,11.7,16.5
450347,13.4,9.6
450348,11.2,8.9
450351,12.6,11
450352,13.8,10.4
450358,8.8,8.3
450369,12.3,10.7
450370,12.4,10.1
450372,13.5,13.6
450373,13.6,10.7
450379,10.5,10.5
450388,10.6,11.3
450389,10.6,10.1
450395,11.2,12.1
450399,12.3,13.6
450400,11.7,9.1
450403,11.5,15.5
450411,13,10.9
450419,12.3,11
450422,Not Available,Not Available
450424,9.9,11.2
450431,11.9,11.8
450438,9.6,12.1
450446,Not Available,Not Available
450447,12.4,12.6
450451,12.6,10.6
450460,11.4,11.9
450462,11,11.9
450465,11,15.2
450469,10.2,12.9
450475,10.5,12.4
450484,12.6,14.2
450488,Not Available,Not Available
450489,11.4,12.9
450497,12.7,10.1
450498,11.2,15.7
450508,13.2,10.9
450518,12.7,10.7
450537,12,13
450539,13.3,14.7
450558,13.6,15
450563,10.7,10
450565,12.1,11.8
450571,12.2,10.2
450573,12.6,11.8
450578,Not Available,11.6
450580,13.1,12.3
450584,11.3,13.2
450586,11.2,9.7
450587,12,13.2
450591,11.8,12.1
450596,15.7,15.1
450597,13.8,13.3
450604,13.6,10.9
450605,9.8,10.4
45060F,11.1,12.6
450610,10.7,9.5
450617,9.3,11.5
450620,13.1,14.4
450634,10.2,10.5
450638,10.3,10.7
450639,12.4,11.7
45063F,11.3,11.3
450641,11.3,10.4
450643,9.9,10.4
450644,10.5,10.7
450647,13.1,9.7
450651,12.2,13.8
450653,15.5,13.9
450654,10.1,11.5
450656,14.5,12.1
450658,10.6,10.5
450659,9.9,9
450661,12.6,13.4
450662,9,10.8
450668,13.3,11.9
450669,10.8,11.6
45066F,10.9,12.9
450670,8.5,8.7
450672,11.7,10.6
450674,Not Available,Not Available
450675,11.8,11.9
450677,11.2,10.3
450678,10.6,10.8
450683,10.8,15.3
450684,11.9,11.8
450686,10.3,9.6
450688,9.3,12.9
450690,9.6,7.3
450694,10.1,10.1
450697,9.9,10.3
450698,10.8,12.9
450702,11.7,10.8
450709,10.6,14.5
450711,9.3,10.8
450713,12.2,15.1
450716,8.7,10.9
450718,10.8,11.8
450723,11.8,12.9
450730,12.5,10.9
450742,14.1,16.2
450743,10.7,11.3
450746,Not Available,11.2
450747,12,12.9
450749,10.5,11.3
45074F,9.7,14
450754,9.2,9.4
450755,11.5,11.2
450766,Not Available,Not Available
450770,Not Available,Not Available
450771,11.6,10
450774,Not Available,Not Available
450775,10.4,12.2
450779,10.4,11.2
450780,Not Available,Not Available
450788,10.5,11.6
450795,Not Available,Not Available
450796,Not Available,Not Available
450797,Not Available,Not Available
450801,10.7,9.8
450803,10.7,9.6
450804,Not Available,Not Available
450808,Not Available,Not Available
450809,11.4,10.6
450813,11.6,Not Available
450820,9.6,8.7
450822,11.7,11.7
450825,Not Available,Not Available
450827,13.3,10.1
450828,9.2,11.7
450831,Not Available,Not Available
450832,11.5,14
450833,9.4,12.7
450834,Not Available,Not Available
450840,12.1,12.9
450841,Not Available,10.7
450844,10.6,12.6
450845,Not Available,Not Available
450847,12.3,13.1
450848,12.5,12.5
450851,10.9,Not Available
450853,Not Available,Not Available
450855,9.8,10.8
450856,Not Available,Not Available
450860,Not Available,Not Available
450862,10.6,11.9
450864,Not Available,Not Available
450865,Not Available,10.4
450867,10,9.4
450869,10.7,10.2
45086F,10.5,11.9
450871,Not Available,Not Available
450872,Not Available,Not Available
450874,Not Available,Not Available
450875,Not Available,Not Available
450876,10.7,11.1
450877,10.3,10.3
450880,Not Available,Not Available
450883,Not Available,Not Available
450884,9.9,11.2
450885,9.5,13.5
450886,Not Available,Not Available
450888,Not Available,Not Available
450889,Not Available,Not Available
450890,10.9,11.3
450891,Not Available,Not Available
450893,Not Available,Not Available
450894,Not Available,Not Available
45090F,11.1,11.6
451301,Not Available,Not Available
451302,12.8,16.9
451303,11.3,17.1
451305,Not Available,12.9
451308,11.5,10.5
451309,Not Available,Not Available
451310,12.1,17
451311,Not Available,12.5
451313,Not Available,11.8
451315,Not Available,Not Available
451316,10.9,13.1
451319,11,14.1
451320,Not Available,10.8
451321,12.4,12.8
451322,12.7,14
451323,10,9.7
451330,11.6,12.3
451331,11.8,11.4
451333,Not Available,Not Available
451334,Not Available,10.8
451337,11.8,10.5
451341,Not Available,13.6
451342,11.8,12.8
451343,11.4,10.1
451344,Not Available,11.2
451346,12.5,12.8
451347,11.4,16.8
451349,11.2,11.5
451350,11.4,11.9
451356,10.3,12.2
451361,13.5,10.7
451364,14.2,12.3
451365,10.2,10.6
451367,11.9,14.5
451369,13.8,13.1
451370,10.1,14.1
451371,11.6,10.7
451372,11.9,11.3
451373,11.5,11.4
451374,12,13.4
451376,11,13.1
451377,10.8,11
451378,10.3,13
451379,10.4,12.9
453300,Not Available,Not Available
453301,Not Available,Not Available
453310,Not Available,Not Available
460001,14.6,13.9
460003,12.3,12.2
460004,11.9,13.3
460005,13.7,13.5
460006,11.5,9.9
460007,12,14.7
460009,13.6,9.9
460010,11.8,12.9
460011,16,15.7
460013,12.8,11.3
460014,12.3,12.6
460015,10.8,10.6
460017,Not Available,12.1
460019,12,13.7
460021,13.7,11.7
460023,11.4,11
460026,12.4,11
46002F,10.7,15
460030,11.5,13.9
460033,Not Available,11.9
460035,Not Available,11.6
460039,Not Available,Not Available
460041,13.4,12.7
460042,11.2,12.9
460043,Not Available,Not Available
460044,12.1,11.1
460047,13.6,11
460049,Not Available,Not Available
460051,14.5,12.8
460052,12.4,11.6
460054,Not Available,Not Available
460057,Not Available,Not Available
460058,Not Available,11.7
461300,Not Available,Not Available
461301,Not Available,Not Available
461302,11.3,12.7
461303,Not Available,12.8
461304,12.3,10.3
461305,Not Available,Not Available
461306,Not Available,11.8
461307,Not Available,13.1
461308,Not Available,11.3
461309,Not Available,11.7
461310,Not Available,Not Available
463301,Not Available,Not Available
470001,13.7,11.4
470003,16.2,13.1
470005,11.3,9.9
470011,15.3,13.2
470012,13,11.3
47001F,11.3,12.3
470024,14.5,12.4
471300,Not Available,13.2
471301,11.8,10.1
471302,11,10.5
471303,13.8,11.7
471304,13.2,12.3
471305,11.5,13
471306,10.9,12.3
471307,11.5,15.1
480001,14.3,14.1
480002,13.9,13.9
490001,9,8.6
490002,11.6,13.2
490004,10.5,11.3
490005,11.1,11.8
490007,9.3,11.2
490009,13,11.9
490011,10.6,11.4
490012,10.2,11.1
490013,10.5,14.2
490017,10.3,14.5
490018,12.3,9.2
490019,12.6,12.9
490020,10.3,11.6
490021,11.6,11.7
490022,12.1,11.1
490023,10.7,11.8
490024,13,13.1
490027,10.7,11.1
490032,12.9,11.5
490033,12.8,11.9
490037,12.5,12.9
490038,13.3,12.5
490040,9.2,10.4
490041,11.6,12.9
490042,11.5,12.3
490043,11.2,9.3
490044,13.3,14.3
490045,10.9,13.1
490046,13.5,17.8
490048,12.3,10.4
490050,11.1,11.8
490052,12,12.3
490053,11.3,12.8
490057,12.7,10.9
490059,10.9,11.9
490060,11.2,11
490063,10.5,9.2
490066,12,11.7
490067,9.3,11.2
490069,11.7,11.3
49006F,11,11.5
490075,12.7,13.2
490077,11.8,11.3
490079,15.1,16
490084,11.5,12.3
490088,13.8,16.7
490089,12.8,12.4
490090,11.8,10
490092,11.3,13.2
490093,12.2,14.8
490094,10.6,Not Available
490097,12.1,17.1
490098,13.9,12.4
490101,12.1,11.4
490105,Not Available,Not Available
490106,Not Available,Not Available
490107,11,10
490109,Not Available,Not Available
49010F,12.2,13.2
490110,10.8,12
490111,12.6,12
490112,11.7,14.7
490113,8.4,11.1
490114,9.8,10.6
490115,14.1,15.3
490116,11.7,12.3
490117,14.1,14.2
490118,11.2,11.4
490119,11.3,16.5
49011F,11.2,10.2
490120,9.5,10.4
490122,11.8,12.3
490123,13.9,14.9
490126,9.4,11.6
490127,9.7,14.6
490130,13.1,14.7
490134,Not Available,Not Available
490136,12.5,11
490140,12.1,9.1
490141,11.7,12
491300,11.1,12.3
491302,10.1,11.8
491303,Not Available,Not Available
491304,13.5,12.8
491305,12.1,11.9
491306,Not Available,16
491307,13,12
500001,14.6,12.3
500002,12.1,11.7
500003,13.8,14.8
500005,10.7,9.4
500007,12,13.9
500008,9.5,11.6
500011,12.5,13.2
500012,13.6,13.3
500014,13.3,13.1
500015,12.8,13.3
500016,14.6,13.1
500019,11.7,12.9
500021,14.4,12.7
500024,11.2,11.7
500025,9.6,11.3
500026,14.1,11.1
500027,14.2,12.7
500030,12.6,10.1
500031,10.9,10
500033,12.9,15.4
500036,13.4,14.7
500037,10.3,12.9
500039,14.1,12.9
500041,13.8,14
500044,12.9,11.6
500049,11.6,11.6
500050,11.8,11.8
500051,13,11.7
500052,Not Available,Not Available
500053,14.5,13.2
500054,13.8,14.2
500058,14.5,11.4
500060,11.3,15
500064,8.9,13
500072,14.6,15.9
500077,10,10
500079,13,14.2
500084,13.2,12.6
500088,11.1,12.2
500108,11.6,15
500119,14.9,13.1
50011F,10.1,10
500124,12.1,8.7
500129,14.1,11.4
500139,12.8,12
50013F,Not Available,Not Available
500141,13.4,15.8
500148,Not Available,11.7
500150,12.9,10.6
500151,13.5,9.3
500152,Not Available,Not Available
50030F,12.2,10.4
501301,Not Available,Not Available
501302,Not Available,Not Available
501303,11.9,13.4
501304,Not Available,Not Available
501305,11,13.1
501307,Not Available,Not Available
501308,Not Available,12.2
501309,10.4,9.8
501310,12.1,11.8
501311,Not Available,11.7
501312,Not Available,12.1
501313,Not Available,Not Available
501314,11.7,10
501315,11.5,10.4
501316,Not Available,11
501317,Not Available,12.4
501318,11,12.3
501319,Not Available,Not Available
501321,Not Available,11.2
501322,Not Available,11.7
501323,14.4,12.7
501324,Not Available,11.4
501325,Not Available,12.2
501326,13.4,11.9
501327,13,15.3
501328,16.7,14.1
501329,14.4,13.3
501330,11.5,13.2
501331,13.5,14.4
501332,13.1,12.1
501333,10.7,12.6
501334,Not Available,12.6
501335,12,10.5
501336,15,11.3
501337,16.4,10.3
501338,Not Available,11.9
501339,10.4,11.7
503300,Not Available,Not Available
510001,11.3,13
510002,9.8,9.9
510006,13.6,13.1
510007,13.4,15
510008,12.4,11.9
510012,12.7,14.1
510013,12.1,15.6
510018,9.9,13.9
510022,10.4,11.7
510023,10.2,9
510024,11.1,10.7
510029,12.3,16.1
51002F,9.8,9.3
510030,11.9,12.7
510031,12.4,11.2
510038,11.5,12.5
510039,14.3,9.8
51003F,10.2,12.4
510046,10.5,10.9
510047,9.5,11.7
510048,11.1,10.8
51004F,12.2,14.5
510050,12.1,13.3
510053,12,14.4
510055,11.4,14.4
510058,11.5,11.1
510059,Not Available,Not Available
51005F,10.5,9.1
510062,12.1,12.4
510070,12.1,11.6
510071,10.8,11
510072,11.8,11.7
510077,12.3,14.5
510082,11.6,12.3
510085,12.4,10.9
510086,Not Available,15.4
511300,Not Available,11
511301,Not Available,11.5
511303,12.5,12.1
511304,Not Available,13.3
511306,Not Available,15.6
511307,12.3,12.5
511308,11,12.9
511309,12.9,11
511310,11.5,11.7
511311,10.9,12.3
511312,12.5,13.2
511313,11.3,9.8
511314,12.6,14
511315,10.7,12.2
511316,12.8,15.5
511317,10.1,16.2
511318,11.7,11.6
511319,13.7,14
520002,11,11.9
520004,13.6,12.3
520008,9.3,10.1
520009,12.3,13
520011,11.5,11.4
520013,13.2,11
520017,11.8,11.8
520019,12.4,12.5
520021,11.8,13.4
520027,14.4,12.6
520028,11.3,10.5
52002F,12.3,12.8
520030,12,13.9
520033,13.7,11.2
520034,13.2,11
520035,13.4,13.2
520037,11,13.3
520038,12.9,12.2
52003F,10.3,9.5
520041,12.1,11.9
520044,15.1,11.8
520045,14.4,9.7
520048,10.8,11.3
520049,11.4,8.8
52004F,10.9,12.5
520051,13.2,12.4
520057,11.2,14.9
520059,12.7,13.1
520062,13.5,14
520063,11.9,12.7
520066,13.5,9.9
520070,10.6,12.5
520071,12,14.3
520075,12.3,11.9
520076,11,11.8
520078,10.3,9.1
520083,10.8,9.2
520087,12.5,14.9
520088,14.9,11
520089,13.4,11.9
520091,12.1,11.8
520095,10.9,10.1
520096,10.3,13.5
520097,14.8,12.7
520098,11.7,11
520100,12.9,15.4
520102,11.5,14.2
520103,12.8,10.8
520107,13.3,12.8
520109,13.4,12.5
520113,10.2,10.7
520116,13.1,11.5
520136,11.2,12
520138,9.3,9.6
520139,10.1,9.2
520160,14.1,13
520177,10.1,12.3
520189,9.6,14.8
520193,9.4,10.9
520194,Not Available,Not Available
520195,Not Available,Not Available
520196,Not Available,Not Available
520198,13.6,11.5
520202,10.8,10.8
520204,10.5,11.1
520205,Not Available,Not Available
520206,11.2,11.3
520207,11,11.9
520208,Not Available,Not Available
521300,10.9,10.8
521302,Not Available,Not Available
521303,11.7,13.1
521304,Not Available,11
521305,Not Available,13.8
521308,12.3,14.2
521309,12,11.5
521310,11.7,10.2
521311,11.9,9.9
521312,Not Available,12.1
521313,14,14.9
521314,Not Available,11.7
521315,14.7,17.4
521316,13.2,16.2
521317,10.9,12.3
521318,Not Available,12
521319,Not Available,15
521320,12.5,12.3
521321,12.9,10.1
521322,Not Available,15.9
521323,11.2,12.3
521324,10.5,11.4
521325,11.4,12.6
521326,10.8,13.8
521327,10.6,11
521328,10.9,11.7
521329,12.8,12.8
521330,11.1,11.7
521331,12.3,12
521332,13.8,10.9
521333,12.2,15
521334,15,17
521335,12.1,10.6
521336,11.8,10.7
521337,9.9,11.8
521338,12.6,13.8
521339,11.4,11.1
521340,11.3,12.2
521341,11.2,13.4
521342,11.4,11.8
521343,11.7,14
521344,Not Available,11.5
521345,11.2,10
521346,13.3,14.1
521347,12.8,12.6
521348,13,12.5
521349,11.5,14.1
521350,12.8,13.7
521351,12.3,12.3
521352,11,14.3
521353,11.8,11.5
521354,13.4,11.3
521355,12.5,11.3
521356,Not Available,Not Available
521357,Not Available,Not Available
521358,11.9,10.6
521359,11.2,12.5
530002,12.6,12.8
530006,13.8,12.5
530008,12.8,11
530010,11,12
530011,12.4,13.5
530012,14.3,12.7
530014,11.9,10.4
530015,11.4,11.5
530025,13.6,13.1
530032,Not Available,12.8
530033,Not Available,Not Available
53004F,10.3,9.5
53005F,12.5,13.5
531301,Not Available,Not Available
531302,Not Available,11.2
531303,Not Available,15.4
531304,13.4,14.3
531305,Not Available,11.2
531306,13.2,11.8
531307,11,11.4
531308,Not Available,11.4
531309,Not Available,17.3
531310,11.5,14.3
531311,Not Available,Not Available
531312,11.8,11.9
531313,Not Available,11.4
531314,Not Available,Not Available
531315,Not Available,Not Available
531316,12.7,10.4
650001,13.2,14.4
660001,Not Available,14.8
670002,10.1,9.8
670004,12.3,10
670005,Not Available,Not Available
670006,12.7,10.7
670008,Not Available,Not Available
670010,Not Available,Not Available
670012,Not Available,Not Available
670018,Not Available,Not Available
670019,Not Available,Not Available
670021,Not Available,Not Available
670023,11.1,10.9
670024,9.9,12
670025,9,Not Available
670029,Not Available,Not Available
670031,9.7,12.3
670034,8.9,9.2
670041,10.1,11.6
670043,11.7,10
670044,13,12.1
670045,Not Available,Not Available
670046,Not Available,Not Available
670047,11.5,13.2
670049,Not Available,Not Available
670050,Not Available,10.3
670052,12.3,13.5
670053,11.2,9.8
670054,Not Available,Not Available
670055,11.1,11.2
670056,10.4,9.6
670058,Not Available,Not Available
670059,Not Available,Not Available
670060,11.5,13.9
670061,Not Available,Not Available
670062,Not Available,Not Available
670063,Not Available,Not Available
670064,Not Available,Not Available
670066,Not Available,Not Available
670067,Not Available,Not Available
670068,12,12
670069,Not Available,Not Available
670071,Not Available,Not Available
670072,Not Available,Not Available
670073,Not Available,Not Available
670075,Not Available,Not Available
670076,Not Available,Not Available
670077,Not Available,Not Available
670078,Not Available,Not Available
670079,Not Available,Not Available
