DRG Definition,Provider Id,Provider Name,Provider City,Provider State,Average Covered Charges,Average Total Payments
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50735,WHITTIER HOSPITAL MEDICAL CENTER,WHITTIER,CA,50649.875,9129.5
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50736,MONTEREY PARK HOSPITAL,MONTEREY PARK,CA,104899.2778,10345.72222
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50737,GARFIELD MEDICAL CENTER,MONTEREY PARK,CA,90903.10448,12879.76119
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50739,CENTINELA HOSPITAL MEDICAL CENTER,INGLEWOOD,CA,48907.82353,8456.852941
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50740,MARINA DEL REY HOSPITAL,MARINA DEL REY,CA,62346.13333,6536.533333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50742,OLYMPIA MEDICAL CENTER,LOS ANGELES,CA,85293.19444,7431.083333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50744,WESTERN MEDICAL CENTER HOSP ANAHEIM,ANAHEIM,CA,28465.18182,8988.909091
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50745,CHAPMAN MEDICAL CENTER,ORANGE,CA,35007.27273,7390
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50746,WESTERN MEDICAL CENTER SANTA ANA,SANTA ANA,CA,42754.72414,9195.103448
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50747,COASTAL COMMUNITIES HOSPITAL,SANTA ANA,CA,51225.75,10477.25
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50752,BROTMAN MEDICAL CENTER,CULVER CITY,CA,61042.65079,7671.15873
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50757,ALVARADO HOSPITAL MEDICAL CENTER,SAN DIEGO,CA,39520.15909,7031.477273
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50758,MONTCLAIR HOSPITAL MEDICAL CENTER,MONTCLAIR,CA,23453.41667,8989.166667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50761,PROVIDENCE TARZANA MEDICAL CENTER,TARZANA,CA,65270.04494,6954.258427
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50764,SHASTA REGIONAL MEDICAL CENTER,REDDING,CA,32580.92105,7719.078947
194 - SIMPLE PNEUMONIA & PLEURISY W CC,50765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,MORENO VALLEY,CA,22855.8125,6320.75
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60001,NORTH COLORADO MEDICAL CENTER,GREELEY,CO,19625.17172,6866.383838
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60003,LONGMONT UNITED HOSPITAL,LONGMONT,CO,29783.77193,5996.631579
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60004,PLATTE VALLEY MEDICAL CENTER,BRIGHTON,CO,22735.30769,7601.076923
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60006,MONTROSE MEMORIAL HOSPITAL,MONTROSE,CO,11244.69565,6326.608696
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60008,SAN LUIS VALLEY REGIONAL MEDICAL CENTER,ALAMOSA,CO,17159.6,6694.433333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60009,EXEMPLA LUTHERAN MEDICAL CENTER,WHEAT RIDGE,CO,24460.6375,5963.8375
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60010,POUDRE VALLEY HOSPITAL,FORT COLLINS,CO,20838.30952,5752.873016
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60012,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,PUEBLO,CO,29691.2459,6392.032787
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60013,MERCY REGIONAL MEDICAL CENTER,DURANGO,CO,17166.30303,7542.939394
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60014,PRESBYTERIAN/ST LUKE'S MEDICAL CENTER,DENVER,CO,34006.94444,7904.416667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60015,CENTURA HEALTH-ST ANTHONY HOSPITAL,LAKEWOOD,CO,29749.06667,6139.233333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60016,CENTURA HEALTH-ST THOMAS MORE HOSPITAL,CANON CITY,CO,20650.32075,7057.45283
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60020,PARKVIEW MEDICAL CENTER INC,PUEBLO,CO,27268.41722,6108.708609
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60022,MEMORIAL HOSPITAL CENTRAL,COLORADO SPRING,CO,25860.31783,6385.434109
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60023,ST MARYS HOSPITAL AND MEDICAL CENTER,GRAND JUNCTION,CO,23314,7085.075949
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60024,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT,AURORA,CO,28855.22078,10729.42857
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60027,BOULDER COMMUNITY HOSPITAL,BOULDER,CO,23265.22449,5752
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60028,EXEMPLA SAINT JOSEPH HOSPITAL,DENVER,CO,29049.92308,6434.653846
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60030,MCKEE MEDICAL CENTER,LOVELAND,CO,17348.5,5510.277778
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,COLORADO SPRING,CO,22559.112,5863.424
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60032,ROSE MEDICAL CENTER,DENVER,CO,33048.77049,6676.098361
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60034,SWEDISH MEDICAL CENTER,ENGLEWOOD,CO,36240.60465,6245.302326
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60036,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,LA JUNTA,CO,11031.77465,6636.84507
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60043,KEEFE MEMORIAL HOSPITAL,CHEYENNE WELLS,CO,10363.84211,15172
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60044,COLORADO PLAINS MEDICAL CENTER,FORT MORGAN,CO,24057.84615,7175.653846
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60054,COMMUNITY HOSPITAL,GRAND JUNCTION,CO,17223.78261,5389.217391
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,DENVER,CO,30207.24444,6294.444444
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60065,NORTH SUBURBAN MEDICAL CENTER,THORNTON,CO,30714.72414,6434.413793
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60071,DELTA COUNTY MEMORIAL HOSPITAL,DELTA,CO,17302.13953,5919.976744
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60075,VALLEY VIEW HOSPITAL ASSOCIATION,GLENWOOD SPRING,CO,20265.77778,8911.111111
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60076,STERLING REGIONAL MEDCENTER,STERLING,CO,13983.09091,8602.772727
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60100,"MEDICAL CENTER OF AURORA, THE",AURORA,CO,35504.83673,6276.163265
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60103,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,LOUISVILLE,CO,23347.92857,6427.571429
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60104,CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL,WESTMINSTER,CO,25946.33333,6494.633333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60112,SKY RIDGE MEDICAL CENTER,LONE TREE,CO,43817.22222,6022.518519
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60113,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,LITTLETON,CO,34630.56471,6107.035294
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60114,PARKER ADVENTIST HOSPITAL,PARKER,CO,35274.90909,5866.454545
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60116,EXEMPLA GOOD SAMARITAN MEDICAL CENTER LLC,LAFAYETTE,CO,26484.37931,5682.586207
194 - SIMPLE PNEUMONIA & PLEURISY W CC,60119,MEDICAL CENTER OF THE ROCKIES,LOVELAND,CO,22096.69231,5666.846154
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70001,HOSPITAL OF ST RAPHAEL,NEW HAVEN,CT,30259.96073,8247.02719
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,20406.25564,9000.511278
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70003,DAY KIMBALL HOSPITAL,PUTNAM,CT,10746.48077,6672.923077
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70004,SHARON HOSPITAL,SHARON,CT,15901.2619,9069.785714
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70005,WATERBURY HOSPITAL,WATERBURY,CT,30019.18333,7881
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70006,STAMFORD HOSPITAL,STAMFORD,CT,31292.4,8081.96
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70007,LAWRENCE & MEMORIAL HOSPITAL,NEW LONDON,CT,13210.59322,7030.152542
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70008,JOHNSON MEMORIAL HOSPITAL,STAFFORD SPRING,CT,19302.82222,6494.333333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70010,BRIDGEPORT HOSPITAL,BRIDGEPORT,CT,29897.96825,10183.33333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70011,CHARLOTTE HUNGERFORD HOSPITAL,TORRINGTON,CT,10147.16364,6632.281818
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70012,ROCKVILLE GENERAL HOSPITAL,ROCKVILLE,CT,15887.98113,6938.150943
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70015,NEW MILFORD HOSPITAL,NEW MILFORD,CT,22417.53333,7303.333333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70016,SAINT MARYS HOSPITAL,WATERBURY,CT,12895.86316,8342.947368
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70017,MIDSTATE MEDICAL CENTER,MERIDEN,CT,19328.608,7216.24
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70018,GREENWICH HOSPITAL ASSOCIATION,GREENWICH,CT,28285.88034,7327.846154
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70019,"MILFORD HOSPITAL, INC",MILFORD,CT,15524.5,6694.125
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70020,MIDDLESEX HOSPITAL,MIDDLETOWN,CT,25647.75214,7110.222222
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70021,WINDHAM COMM MEM HOSP & HATCH HOSP,WILLIMANTIC,CT,14087.84091,9246.954545
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70022,YALE-NEW HAVEN HOSPITAL,NEW HAVEN,CT,33062.42021,10705.23404
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70024,WILLIAM W BACKUS HOSPITAL,NORWICH,CT,14589.85263,7111.115789
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70025,HARTFORD HOSPITAL,HARTFORD,CT,20017.87407,9236.177778
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70027,MANCHESTER MEMORIAL HOSPITAL,MANCHESTER,CT,16737.85507,6583.782609
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70028,ST VINCENT'S MEDICAL CENTER,BRIDGEPORT,CT,23101.34066,8076.934066
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70029,BRISTOL HOSPITAL,BRISTOL,CT,17978.21053,6409.073684
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70031,GRIFFIN HOSPITAL,DERBY,CT,23340.13725,7771.196078
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70033,DANBURY HOSPITAL,DANBURY,CT,18765.20301,8029.714286
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70034,NORWALK HOSPITAL ASSOCIATION,NORWALK,CT,31377.47414,8265.862069
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",NEW BRITAIN,CT,19690.41718,7580.576687
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70036,JOHN DEMPSEY HOSPITAL,FARMINGTON,CT,17452.1791,11310.38806
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70039,MASONIC HOME AND HOSPITAL,WALLINGFORD,CT,5987.333333,6382.37037
194 - SIMPLE PNEUMONIA & PLEURISY W CC,70040,HEBREW HOME AND HOSPITAL INC,WEST HARTFORD,CT,9606.421053,6642
194 - SIMPLE PNEUMONIA & PLEURISY W CC,80001,"CHRISTIANA CARE HEALTH SERVICES, INC.",NEWARK,DE,15985.60135,7790.054054
194 - SIMPLE PNEUMONIA & PLEURISY W CC,80003,ST FRANCIS HOSPITAL,WILMINGTON,DE,18380.22222,7122.466667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,80004,BAYHEALTH - KENT GENERAL HOSPITAL,DOVER,DE,16861.19697,6593.886364
194 - SIMPLE PNEUMONIA & PLEURISY W CC,80006,NANTICOKE MEMORIAL HOSPITAL,SEAFORD,DE,16731.25,8941.84375
194 - SIMPLE PNEUMONIA & PLEURISY W CC,80007,BEEBE MEDICAL CENTER,LEWES,DE,21069.87755,6488.836735
194 - SIMPLE PNEUMONIA & PLEURISY W CC,80009,BAYHEALTH - MILFORD MEMORIAL HOSPITAL,MILFORD,DE,19609.08333,6904.333333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,90001,GEORGE WASHINGTON UNIV HOSPITAL,WASHINGTON,DC,40273.09524,10029.65079
194 - SIMPLE PNEUMONIA & PLEURISY W CC,90003,HOWARD UNIVERSITY HOSPITAL,WASHINGTON,DC,28896.36,13651.28
194 - SIMPLE PNEUMONIA & PLEURISY W CC,90004,GEORGETOWN UNIVERSITY HOSPITAL,WASHINGTON,DC,38988.12245,11651.63265
194 - SIMPLE PNEUMONIA & PLEURISY W CC,90005,SIBLEY MEMORIAL HOSPITAL,WASHINGTON,DC,21669.11111,6175.271605
194 - SIMPLE PNEUMONIA & PLEURISY W CC,90006,PROVIDENCE HOSPITAL,WASHINGTON,DC,19446.37209,8551.488372
194 - SIMPLE PNEUMONIA & PLEURISY W CC,90008,UNITED MEDICAL CENTER,WASHINGTON,DC,33720.41667,7940.333333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,90011,WASHINGTON HOSPITAL CENTER,WASHINGTON,DC,25672.69444,8787.537037
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100001,SHANDS JACKSONVILLE MEDICAL CENTER,JACKSONVILLE,FL,26754.57143,9045.714286
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100002,BETHESDA MEMORIAL HOSPITAL,BOYNTON BEACH,FL,38176.95726,6628.726496
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100006,ORLANDO HEALTH,ORLANDO,FL,36641.56322,6968.971264
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100007,FLORIDA HOSPITAL,ORLANDO,FL,33452.6257,6541.679702
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100008,BAPTIST HOSPITAL OF MIAMI INC,MIAMI,FL,49304.62585,7945.319728
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100009,UNIVERSITY OF MIAMI HOSPITAL,MIAMI,FL,60114.81967,7894.032787
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100012,LEE MEMORIAL HOSPITAL,FORT MYERS,FL,24316.15707,6091.984293
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100014,BERT FISH MEDICAL CENTER,NEW SMYRNA BEAC,FL,15478.23529,5076.764706
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100017,HALIFAX HEALTH MEDICAL CENTER,DAYTONA BEACH,FL,18678.04688,5982.085938
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100018,NAPLES COMMUNITY HOSPITAL,NAPLES,FL,24329.94273,5851.933921
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100019,HOLMES REGIONAL MEDICAL CENTER,MELBOURNE,FL,25698.54971,5561.631579
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100022,JACKSON MEMORIAL HOSPITAL,MIAMI,FL,32343.02632,13100.10526
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100023,CITRUS MEMORIAL HOSPITAL,INVERNESS,FL,20824.91304,5326.902174
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100025,SACRED HEART HOSPITAL,PENSACOLA,FL,17544.60976,6465.463415
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100026,BAY MEDICAL CENTER,PANAMA CITY,FL,19583.49153,5757.355932
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100028,PARRISH MEDICAL CENTER,TITUSVILLE,FL,16503.5,5644.365385
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100029,NORTH SHORE MEDICAL CENTER,MIAMI,FL,50502.34831,7557.011236
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100030,HEALTH CENTRAL,OCOEE,FL,26728.12195,6057.317073
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100032,BAYFRONT MEDICAL CENTER INC,SAINT PETERSBUR,FL,34405.22785,6970.025316
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100034,MOUNT SINAI MEDICAL CENTER,MIAMI BEACH,FL,44031.76154,8017.123077
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100035,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,24817.71186,5995
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100038,MEMORIAL REGIONAL HOSPITAL,HOLLYWOOD,FL,42374.2233,7058.019417
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100039,BROWARD HEALTH BROWARD GENERAL MEDICAL CENTER,FORT LAUDERDALE,FL,31506.82353,8804.176471
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100040,ST VINCENT'S MEDICAL CENTER,JACKSONVILLE,FL,23370.81595,5947.251534
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100043,MEASE HOSPITAL DUNEDIN,DUNEDIN,FL,23883.875,5429.8
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100044,MARTIN MEMORIAL MEDICAL CENTER,STUART,FL,35773.9569,5970.836207
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100045,FLORIDA HOSPITAL DELAND,DELAND,FL,21769.74074,5933.777778
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100046,FLORIDA HOSPITAL ZEPHYRHILLS,ZEPHYRHILLS,FL,32468.42222,5399.177778
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100047,CHARLOTTE REGIONAL MEDICAL CENTER,PUNTA GORDA,FL,32415.32143,5367.25
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100048,JAY HOSPITAL,JAY,FL,24193.14286,6398.464286
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100049,HIGHLANDS REGIONAL MEDICAL CENTER,SEBRING,FL,23870.55263,5536.921053
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100050,PALM SPRINGS GENERAL HOSPITAL,HIALEAH,FL,25110.57692,7813.025641
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100051,SOUTH LAKE HOSPITAL,CLERMONT,FL,34974.4717,5709.716981
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100052,WINTER HAVEN HOSPITAL,WINTER HAVEN,FL,31061.39167,5682.175
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100053,HIALEAH HOSPITAL,HIALEAH,FL,70120.59155,8959.366197
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100054,TWIN CITIES HOSPITAL,NICEVILLE,FL,47435.1,4991.425
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100055,HELEN ELLIS MEMORIAL HOSPITAL,TARPON SPRINGS,FL,22619.14894,5242.212766
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100057,FLORIDA HOSPITAL WATERMAN,TAVARES,FL,23548.76531,5529.122449
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100061,MERCY HOSPITAL INC,MIAMI,FL,33432.125,7389.15625
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100062,MUNROE REGIONAL MEDICAL CENTER,OCALA,FL,25886.77083,5419.635417
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100063,MORTON PLANT NORTH BAY HOSPITAL,NEW PORT RICHEY,FL,25322.03448,5212.275862
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100067,ST ANTHONY'S HOSPITAL,SAINT PETERSBUR,FL,29785.03922,5567.235294
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100068,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,DAYTONA BEACH,FL,16851.62712,5686.525424
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100069,FLORIDA HOSPITAL CARROLLWOOD,TAMPA,FL,28588.96667,6878.533333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100070,VENICE REGIONAL MEDICAL CENTER,VENICE,FL,22690.34091,5339.761364
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100071,BROOKSVILLE REGIONAL HOSPITAL,BROOKSVILLE,FL,47553.82667,6034.573333
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100072,FLORIDA HOSPITAL FISH MEMORIAL,ORANGE CITY,FL,23357.86111,5568.861111
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100073,HOLY CROSS HOSPITAL INC,FORT LAUDERDALE,FL,33097.07407,5781.962963
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100075,ST JOSEPH'S HOSPITAL,TAMPA,FL,27509.86164,6687.36478
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100076,METROPOLITAN HOSPITAL OF MIAMI,MIAMI,FL,36478.86667,8317.6
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100077,PEACE RIVER REGIONAL MEDICAL CENTER,PORT CHARLOTTE,FL,26391.775,5841.55
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100080,JFK MEDICAL CENTER,ATLANTIS,FL,42327.36842,6446.80117
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100081,HEALTHMARK REGIONAL MEDICAL CENTER,DEFUNIAK SPRING,FL,22864.48276,5889.103448
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100084,LEESBURG REGIONAL MEDICAL CENTER,LEESBURG,FL,22623.63333,5593.691667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100086,BROWARD HEALTH NORTH BROWARD MEDICAL CENTER,POMPANO BEACH,FL,25214.6875,6069.8125
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100087,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,21883.94595,5597.148649
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100088,BAPTIST MEDICAL CENTER,JACKSONVILLE,FL,28561.00412,6344.777778
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100090,FLAGLER HOSPITAL,SAINT AUGUSTINE,FL,34571.99383,8305.246914
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100092,WUESTHOFF MEDICAL CENTER  ROCKLEDGE,ROCKLEDGE,FL,21289.85075,5704.044776
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100093,BAPTIST HOSPITAL,PENSACOLA,FL,24661.75,5656.882353
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100099,LAKE WALES MEDICAL CENTER,LAKE WALES,FL,36467.40625,5485.15625
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100102,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,LAKE CITY,FL,24836.39535,5679
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100105,INDIAN RIVER MEDICAL CENTER,VERO BEACH,FL,13024.96875,5814
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100106,DOCTOR'S MEMORIAL HOSPITAL INC,PERRY,FL,11567,6674.769231
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100107,LEHIGH REGIONAL MEDICAL CENTER,LEHIGH ACRES,FL,27308.28,6043.44
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100109,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,SEBRING,FL,28455.4878,5741.939024
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100110,OSCEOLA REGIONAL MEDICAL CENTER,KISSIMMEE,FL,48978.80597,6481.253731
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100113,SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA,GAINESVILLE,FL,20884.51515,9704.646465
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100117,BAPTIST MEDICAL CENTER  BEACHES,JACKSONVILLE BE,FL,32967.40972,5523.854167
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100118,FLORIDA HOSPITAL FLAGLER,PALM COAST,FL,17711.56522,6582.652174
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100121,BARTOW REGIONAL MEDICAL CENTER,BARTOW,FL,25803.2,5659.4
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100122,NORTH OKALOOSA MEDICAL CENTER,CRESTVIEW,FL,54060.15217,5740.73913
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100124,SANTA ROSA MEDICAL CENTER,MILTON,FL,29461.64,5818.68
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100125,HOMESTEAD HOSPITAL,HOMESTEAD,FL,40550.24194,8136.403226
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100126,PALMS OF PASADENA HOSPITAL,SAINT PETERSBUR,FL,28039.68966,5189.327586
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100127,MORTON PLANT HOSPITAL,CLEARWATER,FL,23842.44762,5810.019048
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100128,TAMPA GENERAL HOSPITAL,TAMPA,FL,45979.69014,8480.366197
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100131,AVENTURA HOSPITAL AND MEDICAL CENTER,AVENTURA,FL,55127.12871,6739.019802
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100132,SOUTH FLORIDA BAPTIST HOSPITAL,PLANT CITY,FL,24215.17143,6051.714286
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100135,TALLAHASSEE MEMORIAL HEALTHCARE,TALLAHASSEE,FL,21934.92593,6328.166667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,DAVENPORT,FL,38610.45,5916.25
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100139,TRI COUNTY HOSPITAL - WILLISTON,WILLISTON,FL,7483.529412,5824.470588
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100140,BAPTIST MEDICAL CENTER - NASSAU,FERNANDINA BEAC,FL,20059.0597,5795.492537
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100142,JACKSON HOSPITAL,MARIANNA,FL,16936.40244,5844.682927
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100150,LOWER KEYS MEDICAL CENTER,KEY WEST,FL,40226.96875,8293.125
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100151,MAYO CLINIC,JACKSONVILLE,FL,16098.27679,7861.821429
194 - SIMPLE PNEUMONIA & PLEURISY W CC,100154,"SOUTH MIAMI HOSPITAL, INC",SOUTH MIAMI,FL,52770.38667,7428.613333
